CropType,LoanName,Location,LandType,LandSize,Income
Rice,Irrigation Loan,Shivamogga,Irrigated,3.12,38163
Maize,Farm Mechanization Loan,Davanagere,Dryland,4.95,26903
Floriculture,NABARD Loan,Tumakuru,Polyhouse,0.84,57258
Sugarcane,Irrigation Loan,Mysuru,Black cotton soil land,2.99,46995
Maize,Farm Mechanization Loan,Gadag,Rainfed,2.17,28030
Coconut,Plantation Loan,Tumakuru,Irrigated,2.86,45474
Organic Vegetables,Organic Farming Loan,Dharwad,Dryland,2.91,45625
Coconut,Plantation Loan,Tumakuru,Irrigated,3.8,40339
Cotton,Kisan Credit Card,Haveri,Dryland,3.7,41543
Silk,Agricultural Term Loan,Kolar,Irrigated,2.9,52430
Pulses,NABARD Loan,Dharwad,Dryland,2.09,24658
Rice,Irrigation Loan,Shivamogga,Irrigated,3.66,38201
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,1.96,66031
Pulses,NABARD Loan,Dharwad,Rainfed,3.97,20102
Groundnut,Crop Loan,Chikkaballapur,Dryland,3.46,34274
Silk,NABARD Loan,Chikkaballapur,Dryland,1.35,66038
Sugarcane,Farm Mechanization Loan,Bagalkot,Irrigated,4.54,47309
Maize,Farm Mechanization Loan,Davanagere,Rainfed,4.44,32909
Groundnut,Crop Loan,Bengaluru Rural,Dryland,2.87,29694
Rice,Crop Loan,Raichur,Wetland,1.31,37474
Silk,NABARD Loan,Kolar,Dryland,2.41,60403
Coffee,Horticulture Loan,Chikkamagaluru,Wetland,0.71,81534
Floriculture,Floriculture Loan,Tumakuru,Irrigated,1.13,70538
Sugarcane,Irrigation Loan,Mandya,Irrigated,4.47,51181
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.89,69873
Millets,PM Kisan Loan,Ballari,Dryland,2.61,20377
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,1.29,60805
Wheat,PM Kisan Loan,Vijayapura,Irrigated,3.84,27945
Coffee,Horticulture Loan,Chikkamagaluru,Black cotton soil land,0.97,61885
Coffee,Plantation Development Loan,Kodagu,Black cotton soil land,1.48,77649
Beekeeping,Apiculture Loan,Kodagu,Dryland,0.6,61388
Mango,Horticulture Loan,Kolar,Dryland,1.54,57970
Sugarcane,Agricultural Term Loan,Belagavi,Black cotton soil land,2.41,49395
Banana,Irrigation Loan,Mysuru,Irrigated,3.11,51664
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,1.03,48727
Wheat,PM Kisan Loan,Kalaburagi,Dryland,3.35,26166
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,0.91,79748
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,0.69,76122
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,2.75,47407
Beekeeping,Agri Clinic Loan,Chamarajanagar,Dryland,1.45,65929
Silk,Agricultural Term Loan,Ramanagara,Irrigated,2.56,71380
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.11,96548
Organic Vegetables,Organic Farming Loan,Tumakuru,Irrigated,1.58,41672
Sugarcane,Farm Mechanization Loan,Belagavi,Irrigated,3.64,45206
Millets,PM Kisan Loan,Tumakuru,Rainfed,3.9,21916
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,4.19,44775
Sugarcane,Farm Mechanization Loan,Mysuru,Black cotton soil land,4.12,52348
Pulses,NABARD Loan,Gadag,Rainfed,1.95,22116
Wheat,PM Kisan Loan,Bagalkot,Dryland,1.67,32038
Maize,Farm Mechanization Loan,Davanagere,Rainfed,4.59,27636
Rice,Irrigation Loan,Mysuru,Wetland,3.96,31175
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,2.0,36613
Mango,Organic Farming Loan,Kolar,Dryland,1.36,57956
Maize,Crop Loan,Chikkaballapur,Dryland,3.7,21041
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.93,75513
Wheat,Crop Loan,Kalaburagi,Dryland,3.88,27270
Cotton,Kisan Credit Card,Haveri,Dryland,4.88,34411
Mango,Organic Farming Loan,Kolar,Dryland,3.96,44695
Groundnut,Crop Loan,Chikkaballapur,Dryland,2.15,23697
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.76,63600
Groundnut,Crop Loan,Chikkaballapur,Dryland,3.32,28873
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,1.56,40964
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,2.0,40780
Maize,Farm Mechanization Loan,Davanagere,Rainfed,3.36,28323
Silk,Agricultural Term Loan,Kolar,Dryland,2.1,72033
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,3.61,47164
Pulses,NABARD Loan,Bidar,Dryland,3.24,19474
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.04,90732
Beekeeping,Agri Clinic Loan,Chamarajanagar,Dryland,1.69,57498
Sugarcane,Farm Mechanization Loan,Mandya,Black cotton soil land,3.86,58576
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,2.37,75548
Wheat,Crop Loan,Bagalkot,Irrigated,2.99,30977
Maize,Crop Loan,Davanagere,Rainfed,3.02,26264
Mango,Organic Farming Loan,Kolar,Black cotton soil land,2.59,45278
Coffee,Horticulture Loan,Hassan,Black cotton soil land,0.69,62913
Beekeeping,Apiculture Loan,Kodagu,Dryland,1.16,61544
Cotton,Pest Management Loan,Dharwad,Black cotton soil land,2.86,31213
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.85,89928
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.55,99862
Wheat,Crop Loan,Bagalkot,Irrigated,2.13,32110
Organic Vegetables,Organic Farming Loan,Tumakuru,Irrigated,1.27,45055
Coconut,Agri Infrastructure Loan,Udupi,Coastal loamy,1.75,40650
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,1.63,60563
Rice,Crop Loan,Shivamogga,Irrigated,1.38,33287
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,3.97,21925
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,1.17,60366
Banana,Irrigation Loan,Hassan,Irrigated,1.55,52572
Millets,PM Kisan Loan,Ballari,Dryland,4.27,16662
Banana,Irrigation Loan,Hassan,Wetland,1.85,45677
Coffee,Horticulture Loan,Hassan,Wetland,0.95,84159
Banana,Irrigation Loan,Hassan,Irrigated,2.95,54383
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,0.86,94541
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,0.68,67576
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,0.85,74954
Millets,Soil Health Card Loan,Koppal,Dryland,3.23,15421
Coffee,Plantation Development Loan,Chikkamagaluru,Black cotton soil land,0.66,71568
Cotton,Pest Management Loan,Dharwad,Black cotton soil land,2.61,32519
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.91,71877
Wheat,Crop Loan,Vijayapura,Dryland,4.53,31335
Rice,Irrigation Loan,Shivamogga,Irrigated,3.15,38322
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,0.73,67108
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,1.99,47220
Millets,Soil Health Card Loan,Tumakuru,Dryland,3.45,20787
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,0.57,62505
Silk,Sericulture Loan,Ramanagara,Irrigated,1.66,57941
Millets,Soil Health Card Loan,Tumakuru,Dryland,2.93,20274
Sugarcane,Irrigation Loan,Mandya,Black cotton soil land,4.22,56027
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.02,96912
Millets,Soil Health Card Loan,Tumakuru,Rainfed,4.15,15472
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.83,42724
Silk,NABARD Loan,Chikkaballapur,Dryland,1.88,65389
Rice,Kisan Credit Card,Mandya,Wetland,3.23,33959
Mango,Organic Farming Loan,Ramanagara,Dryland,3.79,41424
Pulses,PM Kisan Loan,Gadag,Dryland,1.33,24391
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,2.06,74107
Floriculture,NABARD Loan,Tumakuru,Polyhouse,1.42,60097
Silk,Sericulture Loan,Ramanagara,Dryland,2.81,59959
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.06,87505
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,0.61,52498
Floriculture,NABARD Loan,Tumakuru,Polyhouse,0.52,53258
Pulses,Organic Farming Loan,Dharwad,Rainfed,1.71,24806
Organic Vegetables,Horticulture Loan,Tumakuru,Irrigated,1.96,40681
Rice,Irrigation Loan,Shivamogga,Wetland,3.19,33010
Millets,PM Kisan Loan,Ballari,Rainfed,2.92,15828
Cotton,Crop Loan,Dharwad,Black cotton soil land,3.83,38703
Rice,Crop Loan,Raichur,Irrigated,1.69,37711
Wheat,PM Kisan Loan,Kalaburagi,Dryland,2.58,30951
Millets,Soil Health Card Loan,Tumakuru,Rainfed,2.69,17094
Beekeeping,Apiculture Loan,Kodagu,Dryland,0.87,61239
Beekeeping,Agri Clinic Loan,Chamarajanagar,Forest edge,1.04,69585
Rice,Kisan Credit Card,Mandya,Wetland,3.54,33881
Mango,Organic Farming Loan,Kolar,Dryland,1.9,35335
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,3.29,27683
Maize,Crop Loan,Chikkaballapur,Dryland,2.0,20585
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,2.7,45053
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,1.32,46046
Rice,Kisan Credit Card,Mandya,Irrigated,3.67,30270
Millets,Organic Farming Loan,Koppal,Rainfed,5.73,16089
Organic Vegetables,Organic Farming Loan,Tumakuru,Dryland,2.62,38474
Maize,Farm Mechanization Loan,Gadag,Dryland,2.76,20331
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.52,53318
Rice,Kisan Credit Card,Shivamogga,Wetland,3.49,33609
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,2.95,52019
Pulses,NABARD Loan,Raichur,Dryland,1.22,23730
Groundnut,Crop Loan,Tumakuru,Black cotton soil land,3.32,25812
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.6,97771
Sugarcane,Farm Mechanization Loan,Mandya,Irrigated,2.36,46454
Coffee,Horticulture Loan,Chikkamagaluru,Wetland,1.09,82156
Cotton,Pest Management Loan,Ballari,Black cotton soil land,4.59,30145
Banana,Horticulture Loan,Mysuru,Irrigated,2.4,54924
Organic Vegetables,Organic Farming Loan,Dharwad,Irrigated,2.47,41487
Sugarcane,Agricultural Term Loan,Belagavi,Irrigated,2.38,51345
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.83,95222
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,4.31,40845
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,3.79,47713
Maize,Farm Mechanization Loan,Chikkaballapur,Rainfed,2.67,27954
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,1.0,65509
Maize,Farm Mechanization Loan,Chikkaballapur,Rainfed,4.35,22591
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.13,39013
Millets,PM Kisan Loan,Koppal,Dryland,5.21,16954
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.13,48401
Wheat,Crop Loan,Kalaburagi,Irrigated,2.42,29338
Pulses,NABARD Loan,Gadag,Rainfed,3.74,22005
Rice,Irrigation Loan,Mysuru,Irrigated,1.95,34106
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,0.67,96699
Wheat,PM Kisan Loan,Bagalkot,Dryland,1.8,25243
Pulses,PM Kisan Loan,Dharwad,Dryland,2.05,23212
Cotton,Pest Management Loan,Gadag,Dryland,2.08,39694
Silk,NABARD Loan,Ramanagara,Irrigated,2.63,57473
Wheat,PM Kisan Loan,Kalaburagi,Dryland,3.18,33885
Fish Farming,Fisheries Loan,Udupi,Wetland,1.5,86276
Wheat,PM Kisan Loan,Bagalkot,Irrigated,3.49,32415
Floriculture,Floriculture Loan,Doddaballapura,Irrigated,1.29,78595
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.79,43488
Sugarcane,Farm Mechanization Loan,Mandya,Irrigated,5.05,52043
Floriculture,NABARD Loan,Doddaballapura,Irrigated,1.43,71187
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,3.32,43079
Coffee,Horticulture Loan,Hassan,Black cotton soil land,0.6,73848
Beekeeping,Agri Clinic Loan,Shivamogga,Forest edge,1.24,69838
Mango,Horticulture Loan,Chikkaballapur,Dryland,2.18,38912
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.99,86007
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,2.6,51492
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,1.56,60567
Cotton,Pest Management Loan,Dharwad,Black cotton soil land,3.81,41321
Tea,Plantation Development Loan,Chikkamagaluru,Wetland,1.98,98285
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,1.56,77129
Millets,Organic Farming Loan,Ballari,Rainfed,4.65,19745
Mango,Horticulture Loan,Ramanagara,Dryland,1.17,43435
Cotton,Crop Loan,Haveri,Black cotton soil land,4.71,38254
Groundnut,Organic Farming Loan,Tumakuru,Dryland,2.21,22918
Coconut,Plantation Loan,Tumakuru,Coastal loamy,1.57,58797
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,1.51,94430
Groundnut,Organic Farming Loan,Tumakuru,Black cotton soil land,3.19,23834
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.5,36638
Pulses,NABARD Loan,Raichur,Rainfed,2.95,19902
Cotton,Pest Management Loan,Dharwad,Dryland,3.33,43893
Cotton,Kisan Credit Card,Haveri,Black cotton soil land,3.62,39963
Sugarcane,Farm Mechanization Loan,Mysuru,Irrigated,5.2,54050
Groundnut,Crop Loan,Bengaluru Rural,Dryland,4.14,31183
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,4.43,21809
Silk,Sericulture Loan,Chikkaballapur,Irrigated,2.82,66910
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.3,42304
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,1.15,63829
Coconut,Plantation Loan,Udupi,Irrigated,1.72,54304
Millets,Soil Health Card Loan,Ballari,Dryland,3.26,20286
Mango,Horticulture Loan,Chikkaballapur,Dryland,1.82,50772
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.12,93522
Pulses,Organic Farming Loan,Raichur,Rainfed,3.27,20115
Groundnut,Crop Loan,Bengaluru Rural,Black cotton soil land,4.36,27500
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,0.72,86709
Mango,Horticulture Loan,Chikkaballapur,Black cotton soil land,1.38,52308
Wheat,Crop Loan,Bagalkot,Dryland,3.91,25135
Beekeeping,Apiculture Loan,Kodagu,Forest edge,1.34,50935
Silk,Agricultural Term Loan,Ramanagara,Irrigated,2.74,60337
Coffee,NABARD Loan,Chikkamagaluru,Black cotton soil land,1.8,85632
Floriculture,NABARD Loan,Tumakuru,Polyhouse,1.54,64116
Beekeeping,Agri Clinic Loan,Kodagu,Forest edge,1.69,56002
Wheat,PM Kisan Loan,Vijayapura,Dryland,4.38,25597
Silk,Agricultural Term Loan,Kolar,Irrigated,1.93,53897
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,1.63,47618
Silk,Agricultural Term Loan,Kolar,Dryland,2.34,73088
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,2.72,55873
Tea,NABARD Refinance Scheme,Chikkamagaluru,Hill slope,1.3,92392
Banana,Horticulture Loan,Mandya,Wetland,2.59,40489
Rice,Kisan Credit Card,Shivamogga,Wetland,1.82,38408
Sugarcane,Farm Mechanization Loan,Mandya,Black cotton soil land,3.68,48729
Rice,Kisan Credit Card,Shivamogga,Wetland,1.87,32293
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.41,63405
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.09,92358
Millets,Organic Farming Loan,Chitradurga,Dryland,5.49,17008
Millets,Soil Health Card Loan,Chitradurga,Dryland,3.57,18324
Floriculture,NABARD Loan,Tumakuru,Polyhouse,0.61,63560
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.02,89959
Beekeeping,Apiculture Loan,Chamarajanagar,Dryland,1.29,53526
Banana,Irrigation Loan,Hassan,Wetland,2.92,52685
Sugarcane,Agricultural Term Loan,Belagavi,Irrigated,3.44,56441
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.56,38101
Fish Farming,Fisheries Loan,Udupi,Wetland,0.87,65243
Pulses,NABARD Loan,Dharwad,Rainfed,2.89,22155
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,1.67,56569
Groundnut,Crop Loan,Chikkaballapur,Dryland,3.44,22931
Pulses,NABARD Loan,Raichur,Dryland,2.97,18114
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,2.36,79203
Coconut,Agri Infrastructure Loan,Tumakuru,Irrigated,3.28,52458
Pulses,PM Kisan Loan,Dharwad,Dryland,2.11,21884
Coconut,Plantation Loan,Udupi,Coastal loamy,1.4,54674
Coconut,Agri Infrastructure Loan,Dakshina Kannada,Coastal loamy,3.27,57676
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.9,20961
Silk,Sericulture Loan,Chikkaballapur,Dryland,1.96,67951
Pulses,PM Kisan Loan,Dharwad,Rainfed,2.97,22930
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,2.61,28615
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.33,79375
Beekeeping,Apiculture Loan,Kodagu,Forest edge,1.45,57469
Rice,Kisan Credit Card,Mandya,Wetland,2.08,31025
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,0.59,96555
Rice,Irrigation Loan,Shivamogga,Irrigated,3.46,33553
Organic Vegetables,Organic Farming Loan,Mysuru,Dryland,2.94,49702
Floriculture,NABARD Loan,Tumakuru,Polyhouse,0.79,71369
Rice,Irrigation Loan,Mandya,Wetland,1.26,30873
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.48,45020
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,1.53,43086
Pulses,Organic Farming Loan,Bidar,Dryland,3.09,21265
Beekeeping,Agri Clinic Loan,Chamarajanagar,Forest edge,1.17,65283
Silk,Agricultural Term Loan,Chikkaballapur,Dryland,2.5,67020
Floriculture,Floriculture Loan,Bengaluru Urban,Polyhouse,0.76,59322
Sugarcane,Farm Mechanization Loan,Mandya,Black cotton soil land,5.12,58614
Maize,Farm Mechanization Loan,Davanagere,Dryland,4.75,23576
Banana,Irrigation Loan,Mysuru,Irrigated,2.87,41617
Coffee,Horticulture Loan,Chikkamagaluru,Wetland,1.1,66726
Groundnut,Organic Farming Loan,Chikkaballapur,Black cotton soil land,3.02,26665
Coffee,NABARD Loan,Hassan,Wetland,1.94,64684
Mango,Horticulture Loan,Ramanagara,Dryland,2.29,51428
Silk,Agricultural Term Loan,Kolar,Dryland,1.9,62846
Pulses,Organic Farming Loan,Raichur,Dryland,3.81,24188
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.34,83838
Coconut,Agri Infrastructure Loan,Tumakuru,Coastal loamy,2.55,48289
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,1.1,42780
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.5,38230
Groundnut,Organic Farming Loan,Tumakuru,Dryland,3.82,29188
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,0.75,59381
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.22,75117
Wheat,Crop Loan,Kalaburagi,Dryland,4.58,32935
Maize,Crop Loan,Gadag,Dryland,4.79,31487
Mango,Horticulture Loan,Kolar,Dryland,3.3,59196
Maize,Crop Loan,Davanagere,Rainfed,4.33,27158
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.89,21647
Silk,Sericulture Loan,Kolar,Dryland,1.2,63273
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,2.21,46971
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,2.16,49954
Wheat,Crop Loan,Kalaburagi,Irrigated,3.63,29823
Cotton,Pest Management Loan,Haveri,Dryland,3.62,43452
Maize,Farm Mechanization Loan,Chikkaballapur,Rainfed,4.25,32222
Organic Vegetables,Horticulture Loan,Dharwad,Irrigated,1.26,36556
Rice,Irrigation Loan,Raichur,Wetland,1.53,30159
Silk,Sericulture Loan,Ramanagara,Dryland,2.84,67419
Pulses,PM Kisan Loan,Raichur,Rainfed,1.58,21925
Organic Vegetables,Horticulture Loan,Mysuru,Irrigated,2.72,49107
Millets,Soil Health Card Loan,Ballari,Dryland,2.07,17112
Silk,Agricultural Term Loan,Kolar,Dryland,3.0,61344
Fish Farming,NABARD Infrastructure Loan,Dakshina Kannada,Wetland,2.42,75374
Beekeeping,Agri Clinic Loan,Chamarajanagar,Dryland,1.34,63004
Groundnut,Crop Loan,Chikkaballapur,Black cotton soil land,3.51,33726
Mango,Organic Farming Loan,Chikkaballapur,Black cotton soil land,2.0,59618
Wheat,Crop Loan,Vijayapura,Irrigated,2.12,28544
Mango,Horticulture Loan,Ramanagara,Black cotton soil land,3.51,42730
Rice,Kisan Credit Card,Mysuru,Irrigated,2.39,37059
Maize,Crop Loan,Chikkaballapur,Rainfed,3.65,31754
Wheat,Crop Loan,Vijayapura,Dryland,3.99,30655
Sugarcane,Farm Mechanization Loan,Bagalkot,Black cotton soil land,5.29,59167
Rice,Crop Loan,Raichur,Wetland,3.84,30981
Groundnut,Crop Loan,Bengaluru Rural,Black cotton soil land,2.04,31683
Organic Vegetables,Horticulture Loan,Mysuru,Dryland,1.52,42368
Mango,Organic Farming Loan,Ramanagara,Black cotton soil land,3.66,38849
Mango,Horticulture Loan,Ramanagara,Dryland,2.81,59080
Maize,Crop Loan,Chikkaballapur,Dryland,4.33,25035
Cotton,Kisan Credit Card,Haveri,Dryland,3.89,38356
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,1.07,40657
Rice,Crop Loan,Shivamogga,Irrigated,3.13,34498
Sugarcane,Agricultural Term Loan,Bagalkot,Black cotton soil land,5.98,50964
Fish Farming,Fisheries Loan,Udupi,Wetland,1.55,67798
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,2.07,65296
Groundnut,Organic Farming Loan,Chikkaballapur,Dryland,3.84,28382
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,2.51,46386
Coconut,Plantation Loan,Dakshina Kannada,Coastal loamy,2.66,47410
Mango,Organic Farming Loan,Kolar,Black cotton soil land,3.94,45941
Silk,Sericulture Loan,Chikkaballapur,Dryland,1.03,66308
Groundnut,Crop Loan,Chikkaballapur,Dryland,4.47,32792
Maize,Farm Mechanization Loan,Gadag,Rainfed,2.38,24752
Coconut,Plantation Loan,Udupi,Irrigated,2.73,51995
Floriculture,NABARD Loan,Bengaluru Urban,Irrigated,0.72,61261
Fish Farming,NABARD Infrastructure Loan,Uttara Kannada,Wetland,1.98,76660
Rice,Crop Loan,Shivamogga,Irrigated,3.89,32430
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,0.62,64119
Groundnut,Organic Farming Loan,Tumakuru,Black cotton soil land,2.96,23576
Coffee,Plantation Development Loan,Kodagu,Black cotton soil land,0.55,61981
Wheat,PM Kisan Loan,Bagalkot,Irrigated,2.02,28434
Groundnut,Organic Farming Loan,Tumakuru,Black cotton soil land,3.99,27061
Beekeeping,Agri Clinic Loan,Chamarajanagar,Forest edge,0.92,60270
Sugarcane,Agricultural Term Loan,Bagalkot,Black cotton soil land,3.76,47459
Wheat,PM Kisan Loan,Vijayapura,Irrigated,1.67,30829
Cotton,Kisan Credit Card,Gadag,Black cotton soil land,4.67,30629
Sugarcane,Irrigation Loan,Bagalkot,Black cotton soil land,4.24,53447
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,2.31,71067
Millets,Soil Health Card Loan,Ballari,Rainfed,5.18,20909
Silk,Sericulture Loan,Chikkaballapur,Irrigated,1.65,59383
Cotton,Pest Management Loan,Dharwad,Black cotton soil land,2.96,35136
Mango,Organic Farming Loan,Kolar,Dryland,1.32,42407
Pulses,NABARD Loan,Bidar,Dryland,2.9,22249
Beekeeping,Apiculture Loan,Kodagu,Forest edge,0.87,59803
Fish Farming,Fisheries Loan,Dakshina Kannada,Wetland,2.24,90163
Coconut,Agri Infrastructure Loan,Udupi,Irrigated,1.32,47936
Fish Farming,Fisheries Loan,Uttara Kannada,Wetland,2.38,92907
Organic Vegetables,Horticulture Loan,Dharwad,Dryland,1.13,46124
Coffee,Horticulture Loan,Kodagu,Black cotton soil land,1.18,77944
Pulses,Organic Farming Loan,Bidar,Dryland,2.32,19361
Banana,Irrigation Loan,Mandya,Wetland,2.29,42666
Millets,Organic Farming Loan,Chitradurga,Rainfed,5.38,21497
Tea,Plantation Development Loan,Chikkamagaluru,Hill slope,1.98,75549
Beekeeping,Apiculture Loan,Chamarajanagar,Forest edge,0.95,50972
Silk,NABARD Loan,Ramanagara,Dryland,1.76,70748
Coffee,Plantation Development Loan,Chikkamagaluru,Wetland,1.71,74540
Millets,PM Kisan Loan,Tumakuru,Rainfed,2.61,15127
Maize,Farm Mechanization Loan,Gadag,Rainfed,3.64,33443
Coconut,Plantation Loan,Udupi,Irrigated,2.41,45619
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.36,98812
Rice,Kisan Credit Card,Raichur,Irrigated,2.32,36182
Beekeeping,Apiculture Loan,Kodagu,Forest edge,0.88,63744
Wheat,PM Kisan Loan,Vijayapura,Irrigated,4.37,32182
Silk,Agricultural Term Loan,Kolar,Irrigated,1.78,58662
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,1.83,51318
Maize,Crop Loan,Davanagere,Dryland,4.67,27811
Fish Farming,NABARD Infrastructure Loan,Udupi,Wetland,1.9,63515
Tea,NABARD Refinance Scheme,Chikkamagaluru,Wetland,1.47,97810
Sugarcane,Irrigation Loan,Belagavi,Irrigated,3.96,59870
Rice,Kisan Credit Card,Shivamogga,Irrigated,3.21,30990
Maize,Crop Loan,Chikkaballapur,Rainfed,4.79,32390
Silk,Agricultural Term Loan,Kolar,Irrigated,1.33,60664
Wheat,PM Kisan Loan,Kalaburagi,Irrigated,4.38,26275
Coconut,Plantation Loan,Dakshina Kannada,Irrigated,3.71,48300
Cotton,Crop Loan,Dharwad,Black cotton soil land,4.68,31902
Floriculture,Floriculture Loan,Doddaballapura,Polyhouse,1.13,61204
Fish Farming,Fisheries Loan,Udupi,Wetland,1.41,88976
Silk,Sericulture Loan,Ramanagara,Dryland,2.54,63787
Wheat,PM Kisan Loan,Vijayapura,Dryland,3.05,29355
Millets,Soil Health Card Loan,Ballari,Rainfed,5.65,18933
Rice,Kisan Credit Card,Shivamogga,Wetland,3.37,32061
Millets,Soil Health Card Loan,Chitradurga,Rainfed,4.11,21957
Cotton,Kisan Credit Card,Gadag,Black cotton soil land,4.52,36134
Beekeeping,Agri Clinic Loan,Kodagu,Dryland,0.74,69903
Beekeeping,Agri Clinic Loan,Chamarajanagar,Dryland,1.0,51167
Cotton,Crop Loan,Haveri,Black cotton soil land,4.07,43815
Cotton,Kisan Credit Card,Ballari,Black cotton soil land,2.53,43862
Wheat,PM Kisan Loan,Kalaburagi,Dryland,2.88,32087
Organic Vegetables,Horticulture Loan,Tumakuru,Dryland,2.4,39927
Millets,Soil Health Card Loan,Ballari,Dryland,2.84,16932
Silk,Sericulture Loan,Chikkaballapur,Dryland,1.73,58991
